#tR(s)	intensity(counts)
0	50
0.15	50
0.3	50
0.45	50
0.6	50
0.75	50
0.9	50
1.05	50
1.2	50
1.35	50
1.5	50
1.65	50
1.8	50
1.95	50
2.1	50
2.25	50
2.4	50
2.55	50
2.7	50
2.85	50
3	50
3.15	50
3.3	50
3.45	50
3.6	50
3.75	50
3.9	50
4.05	50
4.2	50
4.35	50
4.5	50
4.65	50
4.8	50
4.95	50
5.1	50
5.25	50
5.4	50
5.55	50
5.7	50
5.85	50
6	50
6.15	50
6.3	50
6.45	50
6.6	50
6.75	50
6.9	50
7.05	50
7.2	50
7.35	50
7.5	50
7.65	50
7.8	50
7.95	50
8.1	50
8.25	50
8.4	50
8.55	50
8.7	50
8.85	50
9	49
9.15	49
9.3	49
9.45	49
9.6	49
9.75	44
9.9	38
10.05	61
10.2	56
10.35	50
10.5	50
10.65	50
10.8	50
10.95	50
11.1	50
11.25	50
11.4	50
11.55	50
11.7	50
11.85	50
12	50
12.15	50
12.3	50
12.45	50
12.6	50
12.75	50
12.9	50
13.05	50
13.2	50
13.35	50
13.5	50
13.65	50
13.8	50
13.95	50
14.1	50
14.25	50
14.4	50
14.55	50
14.7	51
14.85	69
15	206
15.15	626
15.3	1034
15.45	832
15.6	339
15.75	99
15.9	53
16.05	50
16.2	50
16.35	50
16.5	50
16.65	50
16.8	50
16.95	50
17.1	50
17.25	50
17.4	50
17.55	50
17.7	50
17.85	50
18	50
18.15	50
18.3	50
18.45	50
18.6	50
18.75	50
18.9	50
19.05	50
19.2	50
19.35	50
19.5	50
19.65	50
19.8	50
19.95	51
20.1	61
20.25	109
20.4	259
20.55	540
20.7	803
20.85	814
21	560
21.15	275
21.3	115
21.45	62
21.6	51
21.75	50
21.9	50
22.05	50
22.2	50
22.35	50
22.5	50
22.65	50
22.8	50
22.95	50
23.1	50
23.25	50
23.4	50
23.55	50
23.7	50
23.85	50
24	50
24.15	50
24.3	50
24.45	50
24.6	50
24.75	50
24.9	50
25.05	50
25.2	50
25.35	50
25.5	50
25.65	50
25.8	50
25.95	50
26.1	50
26.25	50
26.4	50
26.55	50
26.7	50
26.85	50
27	50
27.15	50
27.3	50
27.45	50
27.6	50
27.75	50
27.9	50
28.05	50
28.2	50
28.35	50
28.5	50
28.65	50
28.8	50
28.95	50
29.1	50
29.25	50
29.4	50
29.55	50
29.7	50
29.85	50
30	50
